time,pv_system_1_P_ac_W,pv_system_1_E_kWh,pv_system_2_P_ac_W,pv_system_2_E_kWh,P_total_ac_W,E_total_kWh
2026-09-25 18:00:00+02:00,1217.6681670491716,1.2176681670491716,4294.478412214293,4.294478412214293,5512.146579263464,5.512146579263464
2026-09-25 19:00:00+02:00,621.3373156745646,0.6213373156745646,1862.9236659935893,1.8629236659935893,2484.260981668154,2.484260981668154
2026-09-25 20:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-25 21:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-25 22:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-25 23:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-26 00:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-26 01:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-26 02:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-26 03:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-26 04:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-26 05:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-26 06:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-26 07:00:00+02:00,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-26 08:00:00+02:00,57.01271912217769,0.057012719122177695,57.01271912217769,0.057012719122177695,114.02543824435539,0.11402543824435539
2026-09-26 09:00:00+02:00,2140.853112928147,2.1408531129281467,734.5528572348343,0.7345528572348343,2875.4059701629812,2.875405970162981
2026-09-26 10:00:00+02:00,3414.807171327925,3.414807171327925,1949.4064363663972,1.9494064363663972,5364.2136076943225,5.364213607694322
2026-09-26 11:00:00+02:00,4164.174823396236,4.164174823396237,3033.560485000371,3.033560485000371,7197.735308396607,7.197735308396608
2026-09-26 12:00:00+02:00,7308.686367841001,7.308686367841001,5832.133395728768,5.832133395728768,13140.819763569769,13.14081976356977
2026-09-26 13:00:00+02:00,7390.378550499024,7.390378550499023,6953.863987442133,6.9538639874421335,14344.242537941158,14.344242537941156
2026-09-26 14:00:00+02:00,6086.029169201483,6.086029169201483,6631.8933873822825,6.6318933873822825,12717.922556583766,12.717922556583765
